t,hdist,hshort,hlong,hshort,hrange,dist,short,long,short,low,high
1627171200,64.7 miles,1 hr 18 min,1 hr 15 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4500,4368,4200,5100
1627172100,64.7 miles,1 hr 18 min,1 hr 15 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4500,4368,4200,5100
1627173000,64.7 miles,1 hr 18 min,1 hr 15 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4500,4368,4200,5100
1627173900,64.7 miles,1 hr 18 min,1 hr 15 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4500,4368,4200,5100
1627174800,64.7 miles,1 hr 18 min,1 hr 15 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4500,4368,4200,5100
1627175700,64.7 miles,1 hr 18 min,1 hr 20 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4800,4368,4200,5100
1627176600,64.7 miles,1 hr 18 min,1 hr 15 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4500,4368,4200,5100
1627177500,64.7 miles,1 hr 18 min,1 hr 20 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4800,4368,4200,5100
1627178400,64.7 miles,1 hr 18 min,1 hr 20 min,1 hr 13 min,1 hr 15 min - 1 hr 25 min,104053,4673,4800,4368,4500,5100
1627179300,64.7 miles,1 hr 18 min,1 hr 20 min,1 hr 13 min,1 hr 15 min - 1 hr 25 min,104053,4673,4800,4368,4500,5100
1627180200,64.7 miles,1 hr 18 min,1 hr 20 min,1 hr 13 min,1 hr 15 min - 1 hr 25 min,104053,4673,4800,4368,4500,5100
1627181100,64.7 miles,1 hr 18 min,1 hr 20 min,1 hr 13 min,1 hr 15 min - 1 hr 25 min,104053,4673,4800,4368,4500,5100
1627182000,64.7 miles,1 hr 18 min,1 hr 20 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4800,4368,4200,5100
1627182900,64.7 miles,1 hr 18 min,1 hr 15 min,1 hr 13 min,1 hr 10 min - 1 hr 25 min,104053,4673,4500,4368,4200,5100
